function,path
rzg2l_cpg_register_core_clk,drivers/clk/renesas/rzg2l-cpg.c
snow_probe,sound/soc/samsung/snow.c
mxc_timer_init_dt,drivers/clocksource/timer-imx-gpt.c
input_clock_by_name,drivers/clk/clk-qoriq.c
exynos_arm64_enable_bus_clk,drivers/clk/samsung/clk-exynos-arm64.c
dmtimer_systimer_init_clock,drivers/clocksource/timer-ti-dm-systimer.c
sama7g5_pmc_setup,drivers/clk/at91/sama7g5.c
fttmr010_common_init,drivers/clocksource/timer-fttmr010.c
ingenic_ost_probe,drivers/clocksource/ingenic-sysost.c
mchp_eic_init,drivers/irqchip/irq-mchp-eic.c
berlin2q_clock_setup,drivers/clk/berlin/bg2q.c
vf610_get_fixed_clock,drivers/clk/imx/clk-vf610.c
timer_get_base_and_rate,drivers/clocksource/dw_apb_timer_of.c
pl35x_nfc_setup_interface,drivers/mtd/nand/raw/pl35x-nand-controller.c
imx6q_obtain_fixed_clk_hw,drivers/clk/imx/clk-imx6q.c
samsung_pwm_alloc,drivers/clocksource/samsung_pwm_timer.c
armada375_wdt_clock_init,drivers/watchdog/orion_wdt.c
armadaxp_wdt_clock_init,drivers/watchdog/orion_wdt.c
nmdk_timer_of_init,drivers/clocksource/nomadik-mtu.c
__ftm_clk_init,drivers/clocksource/timer-fsl-ftm.c
mpc512x_clk_setup_ref_clock,arch/powerpc/platforms/512x/clock-commonclk.c
of_pm_clk_add_clk,drivers/base/power/clock_ops.c
orion_mdio_xsmi_set_mdc_freq,drivers/net/ethernet/marvell/mvmdio.c
tcb_clksrc_init,drivers/clocksource/timer-atmel-tcb.c
fsl_tcon_init,drivers/gpu/drm/fsl-dcu/fsl_tcon.c
load_one_timing_from_dt,drivers/clk/tegra/clk-tegra124-emc.c
rk_timer_probe,drivers/clocksource/timer-rockchip.c
tegra124_cpufreq_probe,drivers/cpufreq/tegra124-cpufreq.c
komeda_parse_pipe_dt,drivers/gpu/drm/arm/display/komeda/komeda_dev.c
exynos4_timer_resources,drivers/clocksource/exynos_mct.c
ingenic_register_clock,drivers/clk/ingenic/cgu.c
cpg_mssr_register_core_clk,drivers/clk/renesas/renesas-cpg-mssr.c
get_clock_deps,drivers/clk/stm32/clk-stm32mp1.c
imx_obtain_fixed_of_clock,drivers/clk/imx/clk.c
imx_get_clk_hw_by_name,drivers/clk/imx/clk.c
get_soc_id_by_pci,arch/arm/mach-mvebu/mvebu-soc-id.c
devm_get_clk_from_child,drivers/clk/clk-devres.c
sysc_add_named_clock_from_child,drivers/bus/ti-sysc.c
imx8mq_soc_revision,drivers/soc/imx/soc-imx8m.c
imx8mm_soc_uid,drivers/soc/imx/soc-imx8m.c
atmel_tcb_pwm_probe,drivers/pwm/pwm-atmel-tcb.c
tsa_of_parse_tdms,drivers/soc/fsl/qe/tsa.c
pistachio_clksrc_of_init,drivers/clocksource/timer-pistachio.c
at91_pm_get_eth_clks,arch/arm/mach-at91/pm.c
am33xx_pm_rtc_setup,drivers/soc/ti/pm33xx.c
st_i2c_probe,drivers/i2c/busses/i2c-st.c
brcm_usb_phy_dvr_init,drivers/phy/broadcom/phy-brcm-usb.c
ti_32k_timer_enable_clock,drivers/clocksource/timer-ti-32k.c
exynos_clkout_probe,drivers/clk/samsung/clk-exynos-clkout.c
mtk_hdmi_get_all_clk,drivers/gpu/drm/mediatek/mtk_hdmi.c
mchp_tc_probe,drivers/counter/microchip-tcb-capture.c
berlin2_clock_setup,drivers/clk/berlin/bg2.c
mvebu_pcie_parse_port,drivers/pci/controller/pci-mvebu.c
timer_of_clk_init,drivers/clocksource/timer-of.c
imx6q_1588_init,arch/arm/mach-imx/mach-imx6q.c
mchp_pit64b_dt_init_timer,drivers/clocksource/timer-microchip-pit64b.c
rockchip_usb_phy_init,drivers/phy/rockchip/phy-rockchip-usb.c
kirkwood_cpufreq_probe,drivers/cpufreq/kirkwood-cpufreq.c
tpm_timer_init,drivers/clocksource/timer-imx-tpm.c
ingenic_tcu_probe,drivers/clk/ingenic/tcu.c
stm32_pctl_probe,drivers/pinctrl/stm32/pinctrl-stm32.c
odroid_audio_probe,sound/soc/samsung/odroid.c
lpc32xx_clk_init,drivers/clk/nxp/clk-lpc32xx.c
armada_xp_timer_init,drivers/clocksource/timer-armada-370-xp.c
armada_375_timer_init,drivers/clocksource/timer-armada-370-xp.c
kona_timer_init,drivers/clocksource/bcm_kona_timer.c
