rank,count,secop
1,6597,null-ptr-check
2,5899,kfree
3,1947,kfree
4,1615,null-ptr-check
5,1127,kfree
6,532,null-ptr-check
7,502,negative-check
8,490,negative-check
9,338,kfree
10,284,null-ptr-check
11,264,of_node_put
12,241,kfree
13,239,kfree
14,234,of_node_put
15,231,null-ptr-check
16,226,negative-check
17,216,null-ptr-check
18,214,negative-check
19,181,of_node_put
20,164,kfree
21,153,null-ptr-check
22,147,null-ptr-check
23,142,null-ptr-check
24,141,null-ptr-check
25,137,kfree
26,125,negative-check
27,122,negative-check
28,121,of_node_put
29,120,negative-check
30,117,null-ptr-check
31,116,negative-check
32,111,negative-check
33,110,null-ptr-check
34,104,null-ptr-check
35,103,negative-check
36,103,negative-check
37,103,negative-check
38,99,negative-check
39,97,null-ptr-check
40,97,of_node_put
41,96,null-ptr-check
42,95,null-ptr-check
43,92,negative-check
44,90,err-ptr-check
45,90,null-ptr-check
46,89,negative-check
47,89,null-ptr-check
48,88,null-ptr-check
49,86,null-ptr-check
50,86,null-ptr-check
51,85,null-ptr-check
52,84,null-ptr-check
53,84,of_node_put
54,82,null-ptr-check
55,82,null-ptr-check
56,81,null-ptr-check
57,80,clk_put
58,80,null-ptr-check
59,79,null-ptr-check
60,78,negative-check
61,77,null-ptr-check
62,75,null-ptr-check
63,74,negative-check
64,73,null-ptr-check
65,71,null-ptr-check
66,68,err-ptr-check
67,67,null-ptr-check
68,65,kfree
69,65,null-ptr-check
70,65,of_node_put
71,64,negative-check
72,64,null-ptr-check
73,64,null-ptr-check
74,64,of_node_put
75,63,null-ptr-check
76,63,null-ptr-check
77,63,null-ptr-check
78,62,null-ptr-check
79,62,null-ptr-check
80,61,null-ptr-check
81,61,null-ptr-check
82,60,negative-check
83,60,null-ptr-check
84,58,negative-check
85,57,negative-check
86,56,null-ptr-check
87,54,null-ptr-check
88,54,null-ptr-check
89,53,err-ptr-check
90,52,null-ptr-check
91,52,null-ptr-check
92,52,null-ptr-check
93,52,of_node_put
94,51,null-ptr-check
95,51,null-ptr-check
96,49,of_node_put
97,48,negative-check
98,48,negative-check
99,48,null-ptr-check
100,47,null-ptr-check
101,47,null-ptr-check
102,46,negative-check
103,46,null-ptr-check
104,45,null-ptr-check
105,45,null-ptr-check
106,45,null-ptr-check
107,45,null-ptr-check
108,44,null-ptr-check
109,44,null-ptr-check
110,44,null-ptr-check
111,43,clk_put
112,43,negative-check
113,43,negative-check
114,43,negative-check
115,41,negative-check
116,41,negative-check
117,40,negative-check
118,40,null-ptr-check
119,39,null-ptr-check
120,39,null-ptr-check
121,39,null-ptr-check
122,39,null-ptr-check
123,38,negative-check
124,38,negative-check
125,38,null-ptr-check
126,37,err-ptr-check
127,37,negative-check
128,37,null-ptr-check
129,37,null-ptr-check
130,37,null-ptr-check
131,37,null-ptr-check
132,36,negative-check
133,36,negative-check
134,36,null-ptr-check
135,36,null-ptr-check
136,36,of_node_put
137,35,kfree
138,35,negative-check
139,35,of_node_put
140,34,negative-check
141,34,negative-check
142,34,negative-check
143,34,negative-check
144,33,err-ptr-check
145,33,negative-check
146,33,null-ptr-check
147,33,null-ptr-check
148,32,negative-check
149,32,null-ptr-check
150,31,err-ptr-check
151,31,null-ptr-check
152,31,null-ptr-check
153,31,null-ptr-check
154,31,null-ptr-check
155,31,null-ptr-check
156,31,null-ptr-check
157,31,null-ptr-check
158,31,null-ptr-check
159,30,kfree
160,30,negative-check
161,30,null-ptr-check
162,29,kfree
163,29,negative-check
164,29,null-ptr-check
165,29,of_node_put
166,28,clk_put
167,28,null-ptr-check
168,28,null-ptr-check
169,28,null-ptr-check
170,27,err-ptr-check
171,27,err-ptr-check
172,27,negative-check
173,27,negative-check
174,27,null-ptr-check
175,27,null-ptr-check
176,27,null-ptr-check
177,27,null-ptr-check
178,26,err-ptr-check
179,26,kfree
180,26,negative-check
181,26,null-ptr-check
182,26,null-ptr-check
183,26,null-ptr-check
184,25,err-ptr-check
185,25,negative-check
186,25,negative-check
187,25,negative-check
188,25,negative-check
189,25,null-ptr-check
190,25,null-ptr-check
191,25,null-ptr-check
192,24,err-ptr-check
193,24,kfree
194,24,negative-check
195,24,negative-check
196,24,null-ptr-check
197,24,null-ptr-check
198,24,null-ptr-check
199,23,err-ptr-check
200,23,err-ptr-check
201,23,negative-check
202,23,null-ptr-check
203,23,null-ptr-check
204,23,null-ptr-check
205,23,null-ptr-check
206,23,null-ptr-check
207,23,of_node_put
208,22,err-ptr-check
209,22,kfree
210,22,negative-check
211,22,negative-check
212,22,negative-check
213,22,negative-check
214,22,negative-check
215,22,null-ptr-check
216,22,null-ptr-check
217,22,null-ptr-check
218,22,null-ptr-check
219,22,null-ptr-check
220,22,null-ptr-check
221,21,err-ptr-check
222,21,negative-check
223,21,negative-check
224,21,negative-check
225,21,null-ptr-check
226,21,null-ptr-check
227,21,null-ptr-check
228,21,null-ptr-check
229,21,null-ptr-check
230,21,null-ptr-check
231,21,of_node_put
