seed_defensive_op,security_sensitive_operation
kfree,kcalloc
kfree,kmalloc
kfree,kzalloc
kfree,kmemdup
kfree,kasprintf
kfree,kmalloc_array
kfree,kzalloc_node
kfree,kstrdup
kfree,kstrndup
kfree,nvmem_cell_read
kfree,ath12k_wmi_tlv_parse_alloc
kfree,ath11k_wmi_tlv_parse_alloc
kfree,rtw_zmalloc
kfree,memdup_user
kfree,ocrdma_init_emb_mqe
kfree,ath10k_wmi_tlv_parse_alloc
kfree,kmalloc_node
kfree,kmemdup_nul
kfree,qed_dcbnl_get_dcbx
kfree,wfx_alloc_hif
kfree,xenbus_read
kfree,memdup_array_user
kfree,pinconf_generic_parse_dt_config
kfree,tomoyo_realpath_from_path
kfree,ieee802_11_parse_elems
kfree,hws_action_create_generic
kfree,iwl_acpi_get_object
kfree,kobject_get_path
kfree,lg_wmab
kfree,pmc_data_allocate
of_node_put,of_get_child_by_name
of_node_put,of_find_compatible_node
of_node_put,of_find_node_by_path
of_node_put,of_parse_phandle
of_node_put,of_get_parent
of_node_put,of_graph_get_endpoint_by_regs
of_node_put,of_find_matching_node
of_node_put,of_find_node_by_name
of_node_put,of_graph_get_remote_node
of_node_put,of_get_cpu_node
of_node_put,of_get_next_child
of_node_put,of_find_matching_node_and_match
of_node_put,of_find_node_by_type
of_node_put,of_irq_find_parent
of_node_put,of_graph_get_remote_port_parent
of_node_put,of_node_get
of_node_put,of_graph_get_port_by_id
of_node_put,of_find_node_by_phandle
of_node_put,of_get_compatible_child
of_node_put,of_cpu_device_node_get
of_node_put,of_get_available_child_by_name
of_node_put,for_each_matching_node_and_match
of_node_put,of_find_device_by_node
of_node_put,of_get_next_available_child
of_node_put,for_each_matching_node
of_node_put,tegra_xusb_find_port_node
of_node_put,for_each_endpoint_of_node
of_node_put,of_find_next_cache_node
of_node_put,of_graph_get_remote_port
of_node_put,of_nvmem_layout_get_container
clk_put,of_clk_get_by_name
clk_put,clk_hw_get_clk
clk_put,of_clk_get
clk_put,clk_get
clk_put,of_clk_get_from_provider
clk_put,clk_get_sys
clk_put,clk_get_optional
clk_put,clk_get_parent
null-ptr-check,kmalloc
null-ptr-check,kvzalloc
null-ptr-check,kzalloc
null-ptr-check,alloc_skb
null-ptr-check,kmalloc_array
null-ptr-check,kmemdup
null-ptr-check,kcalloc
null-ptr-check,bpf_map_lookup_elem
null-ptr-check,devres_alloc
null-ptr-check,nlmsg_new
null-ptr-check,of_device_get_match_data
null-ptr-check,btrfs_alloc_path
null-ptr-check,kmem_cache_zalloc
null-ptr-check,ath10k_wmi_alloc_skb
null-ptr-check,dma_alloc_coherent
null-ptr-check,skb_header_pointer
null-ptr-check,malloc
null-ptr-check,calloc
null-ptr-check,platform_get_resource
null-ptr-check,device_get_match_data
null-ptr-check,zalloc
null-ptr-check,ath11k_wmi_alloc_skb
null-ptr-check,nla_nest_start_noflag
null-ptr-check,kstrdup
null-ptr-check,vzalloc
null-ptr-check,kasprintf
null-ptr-check,alloc_etherdev
null-ptr-check,fopen
null-ptr-check,alloc_page
null-ptr-check,kzalloc_node
negative-check,regmap_read
negative-check,pm_runtime_resume_and_get
negative-check,i2c_smbus_read_byte_data
negative-check,platform_get_irq
negative-check,phy_read
negative-check,regmap_write
negative-check,phy_read_mmd
negative-check,regmap_update_bits
negative-check,i2c_smbus_write_byte_data
negative-check,kstrtoul
negative-check,nla_parse_nested_deprecated
negative-check,snd_ctl_add
negative-check,snd_pcm_new
negative-check,open
negative-check,platform_get_irq_byname
negative-check,pcim_enable_device
negative-check,i2c_transfer
negative-check,i2c_master_send
negative-check,fs_parse
negative-check,regmap_bulk_read
negative-check,regulator_bulk_enable
negative-check,i2c_smbus_read_word_data
negative-check,kstrtobool
negative-check,rvu_get_blkaddr
negative-check,btrfs_search_slot
negative-check,ida_alloc
negative-check,kstrtouint
negative-check,kstrtoint
negative-check,nla_parse_nested
negative-check,smb_init
err-ptr-check,intel_ring_begin
err-ptr-check,qcom_cc_map
err-ptr-check,ar
err-ptr-check,drm_atomic_get_crtc_state
err-ptr-check,nvkm_gsp_rm_ctrl_get
err-ptr-check,mlx4_alloc_cmd_mailbox
err-ptr-check,nct6775_update_device
err-ptr-check,i915_gem_object_create_internal
err-ptr-check,tty_alloc_driver
err-ptr-check,cifs_sb_tlink
err-ptr-check,dasd_device_from_cdev
err-ptr-check,intel_context_create
err-ptr-check,platform_device_register_simple
err-ptr-check,sdhci_pltfm_init
err-ptr-check,tape_alloc_request
err-ptr-check,__filemap_get_folio
err-ptr-check,clk_get
err-ptr-check,drm_dev_alloc
err-ptr-check,drm_property_create_blob
err-ptr-check,memdup_user
err-ptr-check,nand_get_sdr_timings
err-ptr-check,debugfs_create_dir
err-ptr-check,nxp_c45_find_secy
err-ptr-check,vfio_alloc_device
err-ptr-check,__hci_cmd_sync
err-ptr-check,ext4_journal_start
err-ptr-check,mock_file
err-ptr-check,mthca_alloc_mailbox
err-ptr-check,rpc_run_task
err-ptr-check,syscon_regmap_lookup_by_phandle
